fecha,producto,cantidad,precio_unitario
2023-06-22,Monitor,9,99990
2023-01-12,Mouse,5,99990
2023-01-29,Monitor,9,29990
2023-05-24,Notebook,8,29990
2023-05-09,Teclado,6,49990
2023-03-06,Mouse,1,19990
2023-04-13,Impresora,9,49990
2023-06-26,Notebook,4,29990
2023-06-30,Impresora,1,49990
2023-02-18,Monitor,10,19990
2023-05-30,Teclado,9,19990
2023-02-11,Teclado,4,19990
2023-02-25,Monitor,5,49990
2023-05-13,Teclado,8,19990
2023-03-21,Impresora,5,99990
2023-04-17,Mouse,4,19990
2023-04-07,Impresora,2,49990
2023-05-16,Monitor,7,19990
2023-04-02,Notebook,1,99990
2023-03-28,Teclado,7,19990
2023-01-15,Impresora,5,19990
2023-03-05,Notebook,7,99990
2023-02-01,Monitor,2,19990
2023-02-07,Teclado,1,19990
2023-01-02,Teclado,7,49990
2023-06-26,Mouse,9,49990
2023-02-22,Teclado,10,19990
2023-03-20,Monitor,7,29990
2023-02-19,Notebook,6,49990
2023-01-16,Impresora,7,19990
2023-06-10,Impresora,1,29990
2023-02-06,Monitor,2,19990
2023-05-11,Monitor,1,99990
2023-03-06,Teclado,1,19990
2023-03-12,Impresora,5,29990
2023-05-25,Teclado,8,99990
2023-02-02,Notebook,6,29990
2023-05-21,Notebook,6,49990
2023-06-06,Teclado,8,29990
2023-01-20,Mouse,4,19990
2023-01-23,Monitor,5,49990
2023-05-24,Monitor,1,99990
2023-03-01,Impresora,6,49990
2023-03-31,Impresora,3,49990
2023-05-01,Impresora,6,19990
2023-02-10,Mouse,9,49990
2023-05-18,Notebook,10,29990
2023-02-05,Monitor,2,19990
2023-02-21,Mouse,2,29990
2023-03-31,Mouse,8,29990
